gene,essential,comment
PA14_44060,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_09090,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_09130,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_15110,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_30400,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_57250,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_38020,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_43230,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_48750,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_08920,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_08470,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_16920,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_31360,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_66970,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_25930,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_57590,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_08720,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_14820,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_42290,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_05280,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_09040,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_30770,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_43600,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_17190,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_51740,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_60350,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_41060,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_36530,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_70260,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_62780,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_25540,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_45290,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_67700,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_08810,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_14250,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_35100,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_35170,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_64100,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_39630,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_42580,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_46740,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04760,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_11450,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_33800,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_12310,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_58120,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_34030,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00200,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04580,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_60360,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_39540,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_35200,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_43680,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_32710,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_66610,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_14770,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_15980,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_57920,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_63030,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_09000,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_08970,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_15680,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_40150,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_40210,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00240,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_17100,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_30670,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_62990,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_18930,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_56780,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_61790,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_57500,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_58780,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_48550,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_11510,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_61740,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_12210,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_30310,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_11860,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_31750,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_25740,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_33920,yes,"Manoil and Ausubel Overlap, 2005, LB"
